bill_id,title,ministry,Member,introduction_date,Debate/Date Passed in LS,Debate/Date Passed in RS,status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date,year,is_amendment,is_appropriation,is_finance
159,"The Appropriation (Railways) No.5 Bill, 2005.                                                                                                                                                           ",RAILWAYS,,2005-12-12,12 Dec 2005,15 Dec 2005,Assented,52  of 2005,20/12/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-159-gaz.pdf?source=loksabhadocs,,2005,0,1,0
155,"The Taxation Laws (Second Amendment) Bill, 2005                                                                                                                                                         ",Unknown,,2005-12-06,14 Dec 2005,20 Dec 2005,Assented,55  of 2005,28/12/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-155-gaz.pdf?source=loksabhadocs,,2005,1,0,0
124,"The Juvenile Justice (Care and  Protection of  Children) Amendment Bill, 2005                                                                                                                           ",SOCIAL JUSTICE AND EMPOWERMENT,,2005-08-29,2 Aug 2006,8 Aug 2006,Assented,33  of 2006,22/08/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-124-gaz.pdf?source=loksabhadocs,,2005,1,0,0
122,"The Punjab General Sales Tax (As in force in the Union Territory of  Chandigarh) Repeal  Bill, 2005                                                                                                     ",HOME AFFAIRS,,2005-08-25,29 Nov 2005,7 Dec 2005,Assented,48  of 2005,14/12/2005 ,,,2005,0,0,0
123,"The  Food Safety and Standards Bill, 2005                                                                                                                                                               ",FOOD PROCESSING INDUSTRIES,,2005-08-25,26 Jul 2006,2 Aug 2006,Assented,34  of 2006,23/08/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-123-gaz.pdf?source=loksabhadocs,,2005,0,0,0
109,"The Khadi and Village Industries Commission (Amendment) Bill, 2005",AGRO AND RURAL INDUSTRIES,,2005-08-22,27 Feb 2006,11 Mar 2006,Assented,10  of 2006,22/03/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-109-gaz.pdf?source=loksabhadocs,,2005,1,0,0
115,"The Prevention of  Insults to National Honour (Amendment) Bill, 2005                                                                                                                                    ",HOME AFFAIRS,,2005-08-22,6 Dec 2005,12 Dec 2005,Assented,51  of 2005,20/12/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-115-gaz.pdf?source=loksabhadocs,,2005,1,0,0
116,"The  Protection  of   Women  from Domestic Violence Bill, 2005                                                                                                                                          ",HUMAN RESOURCE  DEVELOPMENT,,2005-08-22,24 Aug 2005,29 Aug 2005,Assented,43  of 2005,13/09/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-116-gaz.pdf?source=loksabhadocs,,2005,0,0,0
102,"The Cess Laws (Repealing and  Amending) Bill, 2005                                                                                                                                                      ",Unknown,,2005-08-16,16 May 2006,17 May 2006,Assented,24  of 2006,01/06/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-102-gaz.pdf?source=loksabhadocs,,2005,0,0,0
103,"The Banking  Companies (Acquisition and Transfer of  Undertakings) and Financial  Institutions Laws (Amendment) Bill, 2005                                                                              ",FINANCE,,2005-08-16,23 Aug 2006,24 Aug 2006,Assented,45  of 2006,25/09/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-103-gaz.pdf?source=loksabhadocs,,2005,1,0,0
104,"The  Factories  (Amendment) Bill, 2005                                                                                                                                                                  ",COMMERCE AND INDUSTRY,,2005-08-16,,,Lapsed,,,,,2005,1,0,0
101,"The Appropriation (Railways) No.4 Bill, 2005                                                                                                                                                            ",RAILWAYS,,2005-08-11,11 Aug 2005,17 Aug 2005,Assented,37  of 2005,25/08/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-101-gaz.pdf?source=loksabhadocs,,2005,0,1,0
98,"The Appropriation (Railways) No.3 Bill, 2005                                                                                                                                                            ",RAILWAYS,,2005-08-11,11 Aug 2005,,Assented,36  of 2005,25/08/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-98-gaz.pdf?source=loksabhadocs,,2005,0,1,0
100,"The Appropriation (No.4) Bill, 2005                                                                                                                                                                     ",Unknown,,2005-08-08,8 Aug 2005,16 Aug 2005,Assented,35  of 2005,24/08/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-100-gaz.pdf?source=loksabhadocs,,2005,0,1,0
99,"The Appropriation (No.3) Bill, 2005                                                                                                                                                                     ",Unknown,,2005-08-08,8 Aug 2006,,Assented,34  of 2005,24/08/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-99-gaz.pdf?source=loksabhadocs,,2005,0,1,0
