url,title,ministry,status,house,introduction_date,passed_ls,passed_rs,assent_date,type,short_title,bill_id,total_actions
https://prsindia.org/billtrack/the-national-identification-authority-of-india-bill-2010,"The National Identification Authority of India Bill, 2010",Planning,Withdrawn,Rajya Sabha,,,,,Government,The National Identification Authority of India Bill,1534,5
https://prsindia.org/billtrack/the-state-bank-of-india-amendment-bill-2007,"The State Bank of India (Amendment) Bill, 2007",,Passed,Lok Sabha,,,,,Government,The State Bank of India (Amendment) Bill,1535,5
https://prsindia.org/billtrack/the-arbitration-and-conciliation-amendment-bill-2019,"The Arbitration and Conciliation (Amendment) Bill, 2019",Law and Justice,Passed,Lok Sabha,,,,,Government,The Arbitration and Conciliation (Amendment) Bill,1536,5
https://prsindia.org/billtrack/the-inland-vessels-bill-2021,"The Inland Vessels Bill, 2021",Shipping,Passed,Lok Sabha,,,,,Government,The Inland Vessels Bill,1537,5
https://prsindia.org/billtrack/the-motor-vehicles-amendment-bill-2007,"The Motor Vehicles (Amendment) Bill, 2007",Roads,Pending,Rajya Sabha,,,,,Government,The Motor Vehicles (Amendment) Bill,1538,5
https://prsindia.org/billtrack/the-footwear-design-and-development-institute-bill-2017,"The Footwear Design and Development Institute Bill, 2017",Commerce and Industry,Passed,Lok Sabha,,,,,Government,The Footwear Design and Development Institute Bill,1539,5
https://prsindia.org/billtrack/the-parliament-prevention-of-disqualification-amendment-bill-2013,"The Parliament (Prevention of Disqualification) Amendment Bill, 2013",Law and Justice,Passed,Lok Sabha,,,,,Government,The Parliament (Prevention of Disqualification) Amendment Bill,1540,5
https://prsindia.org/billtrack/the-clinical-establishments-registration-and-regulation-bill-2010,"The Clinical Establishments (Registration and Regulation) Bill, 2010",Health,Passed,Lok Sabha,,,,,Government,The Clinical Establishments (Registration and Regulation) Bill,1541,5
https://prsindia.org/billtrack/the-national-waterway-talcher-dhamra-stretch-of-rivers-geonkhali-charbatia-dhamra-stretch-of-matai-river-and-mahanadi-delta-rivers-bill-2006,"The National Waterway (Talcher-Dhamra Stretch of Rivers Geonkhali-Charbatia-Dhamra Stretch of Matai River and Mahanadi Delta Rivers) Bill, 2006",,Passed,Lok Sabha,,,,,Government,The National Waterway (Talcher-Dhamra Stretch of Rivers Geonkhali-Charbatia-Dhamra Stretch of Matai River and Mahanadi Delta Rivers) Bill,1542,5
https://prsindia.org/billtrack/the-rajiv-gandhi-institute-of-petroleum-technology-bill-2007,"The Rajiv Gandhi Institute of Petroleum Technology Bill, 2007",,Passed,Lok Sabha,,,,,Government,The Rajiv Gandhi Institute of Petroleum Technology Bill,1543,5
https://prsindia.org/billtrack/the-constitution-scheduled-castes-order-amendment-bill-2023,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2023",Social Justice and Empowerment,Passed,Lok Sabha,,,,,Government,The Constitution (Scheduled Castes) Order (Amendment) Bill,1544,5
https://prsindia.org/billtrack/the-administrative-tribunals-amendment-bill-2006,"The Administrative Tribunals (Amendment) Bill, 2006",Law and Justice,Withdrawn,Rajya Sabha,,,,,Government,The Administrative Tribunals (Amendment) Bill,1545,5
https://prsindia.org/billtrack/the-tribunals-reforms-rationalisation-and-conditions-of-service-ordinance-2021,"The Tribunals Reforms (Rationalisation and Conditions of Service) Ordinance, 2021",Law and Justice,Pending,Lok Sabha,,,,,Government,The Tribunals Reforms (Rationalisation and Conditions of Service) Ordinance,1546,5
https://prsindia.org/billtrack/the-nalanda-university-bill-2010,"The Nalanda University Bill, 2010",External Affairs,Passed,Lok Sabha,,,,,Government,The Nalanda University Bill,1547,5
https://prsindia.org/billtrack/the-central-road-fund-amendment-bill-2006,"The Central Road Fund (Amendment) Bill, 2006",,Passed,Lok Sabha,,,,,Government,The Central Road Fund (Amendment) Bill,1548,5
https://prsindia.org/billtrack/the-small-and-medium-enterprises-development-bill-2005,"The Small and Medium Enterprises Development Bill, 2005",,Passed,Lok Sabha,,,,,Government,The Small and Medium Enterprises Development Bill,1549,5
https://prsindia.org/billtrack/the-airports-economic-regulatory-authority-of-india-amendment-bill-2019,"The Airports Economic Regulatory Authority of India (Amendment) Bill, 2019",Civil Aviation,Passed,Lok Sabha,,,,,Government,The Airports Economic Regulatory Authority of India (Amendment) Bill,1550,5
https://prsindia.org/billtrack/draft-electricity-amendment-bill-2020,"Draft Electricity (Amendment) Bill, 2020",Power,Unknown,Lok Sabha,,,,,Government,Draft Electricity (Amendment) Bill,1551,5
https://prsindia.org/billtrack/the-national-sports-university-bill-2018,"The National Sports University Bill, 2018",Youth Affairs and Sports,Passed,Lok Sabha,,,,,Government,The National Sports University Bill,1552,5
https://prsindia.org/billtrack/the-representation-of-the-people-amendment-bill-2010,"The Representation of the People (Amendment) Bill, 2010",Law and Justice,Passed,Lok Sabha,,,,,Government,The Representation of the People (Amendment) Bill,1553,5
https://prsindia.org/billtrack/the-government-of-national-capital-territory-of-delhi-amendment-ordinance-2023,"The Government of National Capital Territory of Delhi (Amendment) Ordinance, 2023",Law and Justice,Unknown,Unknown,,,,,Government,The Government of National Capital Territory of Delhi (Amendment) Ordinance,1554,5
https://prsindia.org/billtrack/the-national-commission-for-human-resources-for-health-bill-2011,"The National Commission for Human Resources for Health Bill, 2011",Health,Pending,Rajya Sabha,,,,,Government,The National Commission for Human Resources for Health Bill,1555,5
https://prsindia.org/billtrack/the-compensatory-afforestation-fund-bill-2008,"The Compensatory Afforestation Fund Bill, 2008",,Introduced,Lok Sabha,,,,,Government,The Compensatory Afforestation Fund Bill,1556,5
https://prsindia.org/billtrack/the-scheduled-castes-scheduled-tribes-and-other-backward-classes-reservation-in-posts-and-services-bill-2004,"The Scheduled Castes, Scheduled Tribes and Other Backward Classes (Reservation in Posts and Services) Bill, 2004",,Introduced,Rajya Sabha,,,,,Government,The Scheduled Castes,1557,5
https://prsindia.org/billtrack/the-institute-of-teaching-and-research-in-ayurveda-bill-2020,"The Institute of Teaching and Research in Ayurveda Bill, 2020",AYUSH,Passed,Lok Sabha,,,,,Government,The Institute of Teaching and Research in Ayurveda Bill,1558,5
https://prsindia.org/billtrack/the-right-of-citizens-for-time-bound-delivery-of-goods-and-services-and-redressal-of-their-grievances-bill-2011-citizens-charter,"The Right of Citizens for Time Bound Delivery of Goods and Services and Redressal of their Grievances Bill, 2011 (Citizens Charter)","Personnel, Grievances and Pensions",Introduced,Lok Sabha,,,,,Government,The Right of Citizens for Time Bound Delivery of Goods and Services and Redressal of their Grievances Bill,1559,5
https://prsindia.org/billtrack/the-repealing-and-amending-bill-2014,"The Repealing and Amending Bill, 2014",Law and Justice,Passed,Lok Sabha,,,,,Government,The Repealing and Amending Bill,1560,5
